"name", "sex", "election_type", "party", "initials", "position", "account"
"Alejandro Ramírez del Molino Morán", "0", "congress", "PARTIDO POPULAR", "PP", "2", "No result found for Alejandro Ramírez del Molino Morán of PP in BADAJOZ"
"Pedro Acedo Penco", "0", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/pedroacedo"
"Victor Valentín Píriz Maya", "0", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/radiobachiller"
"María del Pilar Medina Pérez", "1", "congress", "PARTIDO POPULAR", "PP", "5", "https://twitter.com/DaVLoMeD"
"María del Pilar Nogales Nogales", "1", "congress", "PARTIDO POPULAR", "PP", "6", "https://twitter.com/Maria_Nogales_"
"José Antonio García Ramos", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/ramon_vcf"
"Agustín Holguera Murillo", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/semsantabadajoz"
"Jorge Luis Medrano Sánchez", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://twitter.com/DOBLESIM"
"María Victoria García Romera", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/omarromega"
"María Luisa González Dos Prazeres", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "5", "https://twitter.com/MariaCandela7io"
"Julia Timón Esteban", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "6", "https://twitter.com/madogdidit"
"Amparo Botejara Sanz", "1", "congress", "PODEMOS", "PODEMOS", "1", "https://twitter.com/lueliclara"
"José Luis Murillo Peláez", "", "congress", "PODEMOS", "PODEMOS", "2", "https://twitter.com/JLPerezTrivino"
"María del Carmen Ibarlucea Paredes (Independiente)", "", "congress", "Independiente", "PODEMOS", "3", "https://twitter.com/emimilana"
"Pablo Iglesias Fernández (Independiente)", "", "congress", "Independiente", "PODEMOS", "4", "https://twitter.com/alvaro7carvajal"
"María Dolores Hurtado Mola", "", "congress", "Independiente", "PODEMOS", "5", "https://twitter.com/crishurtado90"
"Francisco Javier González del Álamo (Independiente)", "", "congress", "Independiente", "PODEMOS", "6", "https://twitter.com/vallebotngonzle"
"David Carretero Barroso", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "https://twitter.com/davidcb9"
"Rogelio Muñoz Orellana", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/rmunozorellana"
"María Paloma Barbero Arias", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "https://twitter.com/JuanjoGUbeda"
"José Francisco Correa Gabardino", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "https://twitter.com/celestinovegasj"
"María Guadalupe Cabanillas Beltrán", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "5", "https://twitter.com/pepacabanillas"
"Teresa Galán Serrano", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "6", "https://twitter.com/TeresaGalnSerra"
"Juan Carlos Molano Gragera", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "1", "https://twitter.com/S_G_S_17"
"María Encarnación Caso Amador", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "2", "https://twitter.com/AMADORABAD"
"Miguel Cansado Padrera", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "3", "https://twitter.com/ricohill8"
"María Amparo Guerra Morato", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "4", "No result found for María Amparo Guerra Morato of UNIDAD POPULAR EN COMÚN in BADAJOZ"
"Antonio Otero Arenas", "0", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "5", "https://twitter.com/antonioterom"
"Marta Isabel García Ortiz", "1", "congress", "UNIDAD POPULAR: IZQUIERDA UNIDA, UNIDAD POPULAR EN COMÚN", "IU-UPeC", "6", "https://twitter.com/maria_patino"
"Carme Chacón Piqueras", "", "congress", "PARTIT DELS SOCIALISTES DE CATALUNYA", "PSC-PSOE", "1", "https://twitter.com/carmechacon"
"Germán Rodríguez Sánchez", "", "congress", "PARTIT DELS SOCIALISTES DE CATALUNYA", "PSC-PSOE", "2", "https://twitter.com/grman_rodriguez"
"Mercè Perea Conillas", "", "congress", "PARTIT DELS SOCIALISTES DE CATALUNYA", "PSC-PSOE", "3", "https://twitter.com/MercePerea"
"José Zaragoza Alonso", "", "congress", "PARTIT DELS SOCIALISTES DE CATALUNYA", "PSC-PSOE", "4", "https://twitter.com/JMAlonsoIU"
"Lídia Guinart Moreno", "", "congress", "PARTIT DELS SOCIALISTES DE CATALUNYA", "PSC-PSOE", "5", "https://twitter.com/LidiaMoreno12"
"Maurici Lucena i Betriu", "", "congress", "PARTIT DELS SOCIALISTES DE CATALUNYA", "PSC-PSOE", "6", "No result found for Maurici Lucena i Betriu of PSC-PSOE in BARCELONA"
